         POW=1       POW=2       POW=3       POW=4       POW=5
           2           4           8          16          32
           3           9          27          81         243
           4          16          64         256        1024
           5          25         125         625        3125
           6          36         216        1296        7776
           7          49         343        2401       16807
           8          64         512        4096       32768
           9          81         729        6561       59049
          10         100        1000       10000      100000
          11         121        1331       14641      161051
          12         144        1728       20736      248832
          13         169        2197       28561      371293
          14         196        2744       38416      537824
          15         225        3375       50625      759375
          16         256        4096       65536     1048576
          17         289        4913       83521     1419857
          18         324        5832      104976     1889568
          19         361        6859      130321     2476099
          20         400        8000      160000     3200000
          21         441        9261      194481     4084101
          22         484       10648      234256     5153632
          23         529       12167      279841     6436343
          24         576       13824      331776     7962624
          25         625       15625      390625     9765625
          26         676       17576      456976    11881376
          27         729       19683      531441    14348907
          28         784       21952      614656    17210368
          29         841       24389      707281    20511149
          30         900       27000      810000    24300000
          31         961       29791      923521    28629151
          32        1024       32768     1048576    33554432
          33        1089       35937     1185921    39135393
          34        1156       39304     1336336    45435424
          35        1225       42875     1500625    52521875
          36        1296       46656     1679616    60466176
          37        1369       50653     1874161    69343957
          38        1444       54872     2085136    79235168
          39        1521       59319     2313441    90224199
          40        1600       64000     2560000   102400000
          41        1681       68921     2825761   115856201
          42        1764       74088     3111696   130691232
          43        1849       79507     3418801   147008443
          44        1936       85184     3748096   164916224
          45        2025       91125     4100625   184528125
          46        2116       97336     4477456   205962976
          47        2209      103823     4879681   229345007
          48        2304      110592     5308416   254803968
          49        2401      117649     5764801   282475249
          50        2500      125000     6250000   312500000
          51        2601      132651     6765201   345025251
          52        2704      140608     7311616   380204032
          53        2809      148877     7890481   418195493
          54        2916      157464     8503056   459165024
          55        3025      166375     9150625   503284375
          56        3136      175616     9834496   550731776
          57        3249      185193    10556001   601692057
          58        3364      195112    11316496   656356768
          59        3481      205379    12117361   714924299
          60        3600      216000    12960000   777600000
          61        3721      226981    13845841   844596301
          62        3844      238328    14776336   916132832
          63        3969      250047    15752961   992436543
          64        4096      262144    16777216  1073741824
          65        4225      274625    17850625  1160290625
          66        4356      287496    18974736  1252332576
          67        4489      300763    20151121  1350125107
          68        4624      314432    21381376  1453933568
          69        4761      328509    22667121  1564031349
          70        4900      343000    24010000  1680700000
          71        5041      357911    25411681  1804229351
          72        5184      373248    26873856  1934917632
          73        5329      389017    28398241  2073071593
          74        5476      405224    29986576     N/A
          75        5625      421875    31640625     N/A
          76        5776      438976    33362176     N/A
          77        5929      456533    35153041     N/A
          78        6084      474552    37015056     N/A
          79        6241      493039    38950081     N/A
          80        6400      512000    40960000     N/A
          81        6561      531441    43046721     N/A
          82        6724      551368    45212176     N/A
          83        6889      571787    47458321     N/A
          84        7056      592704    49787136     N/A
          85        7225      614125    52200625     N/A
          86        7396      636056    54700816     N/A
          87        7569      658503    57289761     N/A
          88        7744      681472    59969536     N/A
          89        7921      704969    62742241     N/A
          90        8100      729000    65610000     N/A
          91        8281      753571    68574961     N/A
          92        8464      778688    71639296     N/A
          93        8649      804357    74805201     N/A
          94        8836      830584    78074896     N/A
          95        9025      857375    81450625     N/A
          96        9216      884736    84934656     N/A
          97        9409      912673    88529281     N/A
          98        9604      941192    92236816     N/A
          99        9801      970299    96059601     N/A
         100       10000     1000000   100000000     N/A
         101       10201     1030301   104060401     N/A
         102       10404     1061208   108243216     N/A
         103       10609     1092727   112550881     N/A
         104       10816     1124864   116985856     N/A
         105       11025     1157625   121550625     N/A
         106       11236     1191016   126247696     N/A
         107       11449     1225043   131079601     N/A
         108       11664     1259712   136048896     N/A
         109       11881     1295029   141158161     N/A
         110       12100     1331000   146410000     N/A
         111       12321     1367631   151807041     N/A
         112       12544     1404928   157351936     N/A
         113       12769     1442897   163047361     N/A
         114       12996     1481544   168896016     N/A
         115       13225     1520875   174900625     N/A
         116       13456     1560896   181063936     N/A
         117       13689     1601613   187388721     N/A
         118       13924     1643032   193877776     N/A
         119       14161     1685159   200533921     N/A
         120       14400     1728000   207360000     N/A
         121       14641     1771561   214358881     N/A
         122       14884     1815848   221533456     N/A
         123       15129     1860867   228886641     N/A
         124       15376     1906624   236421376     N/A
         125       15625     1953125   244140625     N/A
         126       15876     2000376   252047376     N/A
         127       16129     2048383   260144641     N/A
         128       16384     2097152   268435456     N/A
         129       16641     2146689   276922881     N/A
         130       16900     2197000   285610000     N/A
         131       17161     2248091   294499921     N/A
         132       17424     2299968   303595776     N/A
         133       17689     2352637   312900721     N/A
         134       17956     2406104   322417936     N/A
         135       18225     2460375   332150625     N/A
         136       18496     2515456   342102016     N/A
         137       18769     2571353   352275361     N/A
         138       19044     2628072   362673936     N/A
         139       19321     2685619   373301041     N/A
         140       19600     2744000   384160000     N/A
         141       19881     2803221   395254161     N/A
         142       20164     2863288   406586896     N/A
         143       20449     2924207   418161601     N/A
         144       20736     2985984   429981696     N/A
         145       21025     3048625   442050625     N/A
         146       21316     3112136   454371856     N/A
         147       21609     3176523   466948881     N/A
         148       21904     3241792   479785216     N/A
         149       22201     3307949   492884401     N/A
         150       22500     3375000   506250000     N/A
         151       22801     3442951   519885601     N/A
         152       23104     3511808   533794816     N/A
         153       23409     3581577   547981281     N/A
         154       23716     3652264   562448656     N/A
         155       24025     3723875   577200625     N/A
         156       24336     3796416   592240896     N/A
         157       24649     3869893   607573201     N/A
         158       24964     3944312   623201296     N/A
         159       25281     4019679   639128961     N/A
         160       25600     4096000   655360000     N/A
         161       25921     4173281   671898241     N/A
         162       26244     4251528   688747536     N/A
         163       26569     4330747   705911761     N/A
         164       26896     4410944   723394816     N/A
         165       27225     4492125   741200625     N/A
         166       27556     4574296   759333136     N/A
         167       27889     4657463   777796321     N/A
         168       28224     4741632   796594176     N/A
         169       28561     4826809   815730721     N/A
         170       28900     4913000   835210000     N/A
         171       29241     5000211   855036081     N/A
         172       29584     5088448   875213056     N/A
         173       29929     5177717   895745041     N/A
         174       30276     5268024   916636176     N/A
         175       30625     5359375   937890625     N/A
         176       30976     5451776   959512576     N/A
         177       31329     5545233   981506241     N/A
         178       31684     5639752  1003875856     N/A
         179       32041     5735339  1026625681     N/A
         180       32400     5832000  1049760000     N/A
         181       32761     5929741  1073283121     N/A
         182       33124     6028568  1097199376     N/A
         183       33489     6128487  1121513121     N/A
         184       33856     6229504  1146228736     N/A
         185       34225     6331625  1171350625     N/A
         186       34596     6434856  1196883216     N/A
         187       34969     6539203  1222830961     N/A
         188       35344     6644672  1249198336     N/A
         189       35721     6751269  1275989841     N/A
         190       36100     6859000  1303210000     N/A
         191       36481     6967871  1330863361     N/A
         192       36864     7077888  1358954496     N/A
         193       37249     7189057  1387488001     N/A
         194       37636     7301384  1416468496     N/A
         195       38025     7414875  1445900625     N/A
         196       38416     7529536  1475789056     N/A
         197       38809     7645373  1506138481     N/A
         198       39204     7762392  1536953616     N/A
         199       39601     7880599  1568239201     N/A
         200       40000     8000000  1600000000     N/A
